ZAPT,NAME
4,ПРОЯВИЛИ ИНТЕРЕС
1,ЗАВЪРШИЛИ ОСНОВЕН КУРС
2,ПРИСЪСТВАЛИ НА УВОДНА ЛЕКЦИЯ
5,ЗАВЪРШИЛИ В ЧУЖБИНА
10,НЕЗАВЪРШИЛИ СЕМИНАРА
11,ПРЕДПЛАТА НА УВОДНАТА ЛЕКЦИЯ
01,НЯМА ДА ПОЛУЧАВАТ ПИСМА
00,НАШИ ПОЗНАТИ ДА НЕ ИЗПРАЩАМЕ
7,ЗАВЪРШИЛИ ДЕТСКИЯ СЕМИНАР
22,Важни незавършили
8,БИЗНЕС СЕМИНАР
9,ЕНЕРГИЙНА САМОЗАЩИТА
13,ОСНОВЕН КУРС НЕРАЗПЕЧАТАНИ
15,ПЛАТЕНО ЗА СЛЕДВАЩ СЕМИНАР
16,ЧУЖБИНА
21,важни завършили
12,СТАНИ БОГАТ
6,ЖРЕБИЙ ЗА БЕЗПЛАТНО УЧАСТИЕ
3,ФЕНГ ШУЕЙ
1@,ЗАВЪРШИЛИ ОСНОВНИЯ КУРС мейли
2@,e-mail НЕЗАВЪРШИЛИ
14,УЛТРА ИТУИЦИЯ ESP
LI,SLS&SIS
23,ГАЛАКСИ
17,ПОДОБРЕТЕ ВРЪЗКИТЕ СИ
18,Биоенергетика
6@,ЖРЕБИЙ е-mail
5@,ЗАВЪРШИЛИ В ЧУЖБИНА - МЕЙЛ
l@,ДЪЛЪГ e-mail
24,МЕДИУМ
4@,ПРОЯВИЛИ ИНТЕРЕС e-mail
19,ШАМАНСКО ПЪТУВАНЕ
Ш@,шШАМАНСКО МЕЙЛ
4Т,ПРОЯВИЛИ ИНТЕРЕС - ТЕЛЕФОНИ
L,SLS
I,SIS
L@,SLS @
I@,SIS @
@@,SLS&SIS@
WL,УЕБИНАР SLS
WI,SLSол+SISзала
WW,УЕБИНАР SLS&SIS
NL,МЕЙЛ НЮЗЛЕТЕР
